,quantile,value,type,location,target,forecast_date,target_end_date
3708,,4322,point,42,3 wk ahead cum death,2020-05-03,2020-05-23
3732,,4695,point,42,4 wk ahead cum death,2020-05-03,2020-05-30
3756,,382,point,44,1 wk ahead cum death,2020-05-03,2020-05-09
3780,,447,point,44,2 wk ahead cum death,2020-05-03,2020-05-16
3804,,504,point,44,3 wk ahead cum death,2020-05-03,2020-05-23
3828,,548,point,44,4 wk ahead cum death,2020-05-03,2020-05-30
3852,,375,point,45,1 wk ahead cum death,2020-05-03,2020-05-09
3876,,542,point,45,2 wk ahead cum death,2020-05-03,2020-05-16
3900,,795,point,45,3 wk ahead cum death,2020-05-03,2020-05-23
3924,,1161,point,45,4 wk ahead cum death,2020-05-03,2020-05-30
3948,,30,point,46,1 wk ahead cum death,2020-05-03,2020-05-09
3972,,47,point,46,2 wk ahead cum death,2020-05-03,2020-05-16
3996,,73,point,46,3 wk ahead cum death,2020-05-03,2020-05-23
4020,,112,point,46,4 wk ahead cum death,2020-05-03,2020-05-30
4044,,211,point,47,1 wk ahead cum death,2020-05-03,2020-05-09
4068,,219,point,47,2 wk ahead cum death,2020-05-03,2020-05-16
4092,,224,point,47,3 wk ahead cum death,2020-05-03,2020-05-23
4116,,227,point,47,4 wk ahead cum death,2020-05-03,2020-05-30
4140,,1032,point,48,1 wk ahead cum death,2020-05-03,2020-05-09
4164,,1191,point,48,2 wk ahead cum death,2020-05-03,2020-05-16
4188,,1352,point,48,3 wk ahead cum death,2020-05-03,2020-05-23
4212,,1510,point,48,4 wk ahead cum death,2020-05-03,2020-05-30
4236,,61,point,49,1 wk ahead cum death,2020-05-03,2020-05-09
4260,,74,point,49,2 wk ahead cum death,2020-05-03,2020-05-16
4284,,86,point,49,3 wk ahead cum death,2020-05-03,2020-05-23
4308,,99,point,49,4 wk ahead cum death,2020-05-03,2020-05-30
4332,,849,point,51,1 wk ahead cum death,2020-05-03,2020-05-09
4356,,1089,point,51,2 wk ahead cum death,2020-05-03,2020-05-16
4380,,1378,point,51,3 wk ahead cum death,2020-05-03,2020-05-23
4404,,1689,point,51,4 wk ahead cum death,2020-05-03,2020-05-30
4428,,55,point,50,1 wk ahead cum death,2020-05-03,2020-05-09
4452,,59,point,50,2 wk ahead cum death,2020-05-03,2020-05-16
4476,,62,point,50,3 wk ahead cum death,2020-05-03,2020-05-23
4500,,64,point,50,4 wk ahead cum death,2020-05-03,2020-05-30
4524,,878,point,53,1 wk ahead cum death,2020-05-03,2020-05-09
