value,target,target_end_date,type,quantile,forecast_date,location
1647.7771911621094,1 wk ahead inc case,2020-11-28,point,,2020-11-18,41067
2994.764068603516,2 wk ahead inc case,2020-12-05,point,,2020-11-18,41067
78.28391838073729,1 wk ahead inc case,2020-11-28,point,,2020-11-18,31003
140.76295566558838,2 wk ahead inc case,2020-12-05,point,,2020-11-18,31003
116.45291805267334,1 wk ahead inc case,2020-11-28,point,,2020-11-18,22115
222.76880741119385,2 wk ahead inc case,2020-12-05,point,,2020-11-18,22115
107.20798206329357,1 wk ahead inc case,2020-11-28,point,,2020-11-18,40085
189.02129745483398,2 wk ahead inc case,2020-12-05,point,,2020-11-18,40085
14709.061889648452,1 wk ahead inc case,2020-11-28,point,,2020-11-18,32003
26980.1328125,2 wk ahead inc case,2020-12-05,point,,2020-11-18,32003
32.77387309074402,1 wk ahead inc case,2020-11-28,point,,2020-11-18,4011
57.93060255050659,2 wk ahead inc case,2020-12-05,point,,2020-11-18,4011
233.546142578125,1 wk ahead inc case,2020-11-28,point,,2020-11-18,12051
456.871488571167,2 wk ahead inc case,2020-12-05,point,,2020-11-18,12051
203.84634017944336,1 wk ahead inc case,2020-11-28,point,,2020-11-18,35041
365.83875846862793,2 wk ahead inc case,2020-12-05,point,,2020-11-18,35041
9500.34326171875,1 wk ahead inc case,2020-11-28,point,,2020-11-18,6073
17613.065307617188,2 wk ahead inc case,2020-12-05,point,,2020-11-18,6073
168.4388561248779,1 wk ahead inc case,2020-11-28,point,,2020-11-18,5065
315.8543643951414,2 wk ahead inc case,2020-12-05,point,,2020-11-18,5065
307.14283561706543,1 wk ahead inc case,2020-11-28,point,,2020-11-18,39171
545.6346836090088,2 wk ahead inc case,2020-12-05,point,,2020-11-18,39171
126.63772249221802,1 wk ahead inc case,2020-11-28,point,,2020-11-18,20059
226.52760553360008,2 wk ahead inc case,2020-12-05,point,,2020-11-18,20059
91.33742904663086,1 wk ahead inc case,2020-11-28,point,,2020-11-18,20147
164.11880683898937,2 wk ahead inc case,2020-12-05,point,,2020-11-18,20147
2130.4527893066406,1 wk ahead inc case,2020-11-28,point,,2020-11-18,39151
3778.623275756836,2 wk ahead inc case,2020-12-05,point,,2020-11-18,39151
71.84449672698975,1 wk ahead inc case,2020-11-28,point,,2020-11-18,48145
142.8759469985962,2 wk ahead inc case,2020-12-05,point,,2020-11-18,48145
293.81052207946783,1 wk ahead inc case,2020-11-28,point,,2020-11-18,48471
598.6323108673105,2 wk ahead inc case,2020-12-05,point,,2020-11-18,48471
700.0182838439941,1 wk ahead inc case,2020-11-28,point,,2020-11-18,48183
1258.536319732666,2 wk ahead inc case,2020-12-05,point,,2020-11-18,48183
607.1348686218263,1 wk ahead inc case,2020-11-28,point,,2020-11-18,21059
1105.545913696289,2 wk ahead inc case,2020-12-05,point,,2020-11-18,21059
2159.6661376953125,1 wk ahead inc case,2020-11-28,point,,2020-11-18,30111
3998.254928588867,2 wk ahead inc case,2020-12-05,point,,2020-11-18,30111
100.10179805755638,1 wk ahead inc case,2020-11-28,point,,2020-11-18,48123
200.29843902587916,2 wk ahead inc case,2020-12-05,point,,2020-11-18,48123
239.73100471496585,1 wk ahead inc case,2020-11-28,point,,2020-11-18,51740
478.76392555236816,2 wk ahead inc case,2020-12-05,point,,2020-11-18,51740
708.0837516784668,1 wk ahead inc case,2020-11-28,point,,2020-11-18,37057
1323.0786323547366,2 wk ahead inc case,2020-12-05,point,,2020-11-18,37057
2930.852508544922,1 wk ahead inc case,2020-11-28,point,,2020-11-18,42017
5243.26177978516,2 wk ahead inc case,2020-12-05,point,,2020-11-18,42017
61.379231452941895,1 wk ahead inc case,2020-11-28,point,,2020-11-18,13199
123.2629919052124,2 wk ahead inc case,2020-12-05,point,,2020-11-18,13199
285.3399963378906,1 wk ahead inc case,2020-11-28,point,,2020-11-18,20051
500.164457321167,2 wk ahead inc case,2020-12-05,point,,2020-11-18,20051
6.38280725479126,1 wk ahead inc case,2020-11-28,point,,2020-11-18,28055
13.248960673809053,2 wk ahead inc case,2020-12-05,point,,2020-11-18,28055
182.51241397857663,1 wk ahead inc case,2020-11-28,point,,2020-11-18,47075
349.75120353698753,2 wk ahead inc case,2020-12-05,point,,2020-11-18,47075
88.9243688583374,1 wk ahead inc case,2020-11-28,point,,2020-11-18,51009
