forecast_date,target,location,target_end_date,type,quantile,value
2020-08-16,1 wk ahead inc death,18,2020-08-22,point,,64.8241954041322
2020-08-16,1 wk ahead inc death,51,2020-08-22,point,,154.178746514628
2020-08-16,1 wk ahead inc death,37,2020-08-22,point,,215.705051645565
2020-08-16,1 wk ahead inc death,45,2020-08-22,point,,342.213394763409
2020-08-16,1 wk ahead inc death,28,2020-08-22,point,,238.656355494742
2020-08-16,1 wk ahead inc death,08,2020-08-22,point,,32.400386050542195
2020-08-16,1 wk ahead inc death,01,2020-08-22,point,,169.54857144404698
2020-08-16,1 wk ahead inc death,53,2020-08-22,point,,107.18943110944001
2020-08-16,1 wk ahead inc death,27,2020-08-22,point,,52.741209912989206
2020-08-16,1 wk ahead inc death,47,2020-08-22,point,,151.288749340145
2020-08-16,1 wk ahead inc death,29,2020-08-22,point,,51.20322502708221
2020-08-16,1 wk ahead inc death,32,2020-08-22,point,,146.693641373681
2020-08-16,1 wk ahead inc death,55,2020-08-22,point,,67.9340529854355
2020-08-16,1 wk ahead inc death,44,2020-08-22,point,,2.90671257332013
2020-08-16,1 wk ahead inc death,19,2020-08-22,point,,54.2837303756226
2020-08-16,1 wk ahead inc death,40,2020-08-22,point,,51.19971312812961
2020-08-16,1 wk ahead inc death,21,2020-08-22,point,,30.3226627508292
2020-08-16,2 wk ahead inc death,US,2020-08-29,point,,9933.86937139177
2020-08-16,2 wk ahead inc death,36,2020-08-29,point,,48.646797847325104
2020-08-16,2 wk ahead inc death,34,2020-08-29,point,,44.329084262623795
2020-08-16,2 wk ahead inc death,06,2020-08-29,point,,1227.01825609239
2020-08-16,2 wk ahead inc death,48,2020-08-29,point,,2044.7425226726
2020-08-16,2 wk ahead inc death,12,2020-08-29,point,,1685.73943803174
2020-08-16,2 wk ahead inc death,25,2020-08-29,point,,116.71317509729401
2020-08-16,2 wk ahead inc death,17,2020-08-29,point,,118.11971614883998
2020-08-16,2 wk ahead inc death,42,2020-08-29,point,,104.23526747171499
2020-08-16,2 wk ahead inc death,26,2020-08-29,point,,56.2188006642761
2020-08-16,2 wk ahead inc death,13,2020-08-29,point,,534.216039979132
2020-08-16,2 wk ahead inc death,04,2020-08-29,point,,470.14068593476
2020-08-16,2 wk ahead inc death,09,2020-08-29,point,,17.391748258093
2020-08-16,2 wk ahead inc death,22,2020-08-29,point,,332.039822192202
2020-08-16,2 wk ahead inc death,39,2020-08-29,point,,198.84052567403802
2020-08-16,2 wk ahead inc death,24,2020-08-29,point,,86.9688642029537
2020-08-16,2 wk ahead inc death,18,2020-08-29,point,,66.45001398999699
2020-08-16,2 wk ahead inc death,51,2020-08-29,point,,187.057780459192
2020-08-16,2 wk ahead inc death,37,2020-08-29,point,,257.784881415268
2020-08-16,2 wk ahead inc death,45,2020-08-29,point,,444.179473689182
2020-08-16,2 wk ahead inc death,28,2020-08-29,point,,289.46835202979486
2020-08-16,2 wk ahead inc death,08,2020-08-29,point,,39.1901394452949
2020-08-16,2 wk ahead inc death,01,2020-08-29,point,,191.35341228752893
2020-08-16,2 wk ahead inc death,53,2020-08-29,point,,128.170422334439
2020-08-16,2 wk ahead inc death,27,2020-08-29,point,,58.8603080225621
2020-08-16,2 wk ahead inc death,47,2020-08-29,point,,172.834539667785
2020-08-16,2 wk ahead inc death,29,2020-08-29,point,,55.179329838658106
2020-08-16,2 wk ahead inc death,32,2020-08-29,point,,193.444716206347
2020-08-16,2 wk ahead inc death,55,2020-08-29,point,,83.8867446689939
2020-08-16,2 wk ahead inc death,44,2020-08-29,point,,1.87993806945499
2020-08-16,2 wk ahead inc death,19,2020-08-29,point,,60.9295125507699
2020-08-16,2 wk ahead inc death,40,2020-08-29,point,,57.1248307510602
2020-08-16,2 wk ahead inc death,21,2020-08-29,point,,32.059140871474106
2020-08-16,3 wk ahead inc death,US,2020-09-05,point,,11874.8806267977
2020-08-16,3 wk ahead inc death,36,2020-09-05,point,,43.6225436360015
