location,target,type,quantile,forecast_date,target_end_date,value
15,1 wk ahead inc death,point,,2020-06-29,2020-07-04,0
56,7 wk ahead cum death,point,,2020-06-29,2020-08-15,63
56,7 wk ahead inc death,point,,2020-06-29,2020-08-15,10
41,6 wk ahead cum death,point,,2020-06-29,2020-08-08,325
41,6 wk ahead inc death,point,,2020-06-29,2020-08-08,23
56,5 wk ahead cum death,point,,2020-06-29,2020-08-01,43
56,5 wk ahead inc death,point,,2020-06-29,2020-08-01,8
46,1 wk ahead cum death,point,,2020-06-29,2020-07-04,97
46,1 wk ahead inc death,point,,2020-06-29,2020-07-04,8
01,6 wk ahead cum death,point,,2020-06-29,2020-08-08,1120
01,6 wk ahead inc death,point,,2020-06-29,2020-08-08,19
10,6 wk ahead cum death,point,,2020-06-29,2020-08-08,635
10,6 wk ahead inc death,point,,2020-06-29,2020-08-08,15
08,2 wk ahead cum death,point,,2020-06-29,2020-07-11,1780
08,2 wk ahead inc death,point,,2020-06-29,2020-07-11,51
20,2 wk ahead cum death,point,,2020-06-29,2020-07-11,276
20,2 wk ahead inc death,point,,2020-06-29,2020-07-11,6
32,1 wk ahead cum death,point,,2020-06-29,2020-07-04,511
32,1 wk ahead inc death,point,,2020-06-29,2020-07-04,13
17,3 wk ahead cum death,point,,2020-06-29,2020-07-18,7531
17,3 wk ahead inc death,point,,2020-06-29,2020-07-18,194
29,3 wk ahead cum death,point,,2020-06-29,2020-07-18,1080
29,3 wk ahead inc death,point,,2020-06-29,2020-07-18,22
40,6 wk ahead cum death,point,,2020-06-29,2020-08-08,402
40,6 wk ahead inc death,point,,2020-06-29,2020-08-08,4
51,5 wk ahead cum death,point,,2020-06-29,2020-08-01,2085
51,5 wk ahead inc death,point,,2020-06-29,2020-08-01,59
19,6 wk ahead cum death,point,,2020-06-29,2020-08-08,907
19,6 wk ahead inc death,point,,2020-06-29,2020-08-08,21
10,1 wk ahead cum death,point,,2020-06-29,2020-07-04,533
10,1 wk ahead inc death,point,,2020-06-29,2020-07-04,26
11,7 wk ahead cum death,point,,2020-06-29,2020-08-15,610
11,7 wk ahead inc death,point,,2020-06-29,2020-08-15,7
66,7 wk ahead cum death,point,,2020-06-29,2020-08-15,5
66,7 wk ahead inc death,point,,2020-06-29,2020-08-15,0
33,6 wk ahead cum death,point,,2020-06-29,2020-08-08,540
33,6 wk ahead inc death,point,,2020-06-29,2020-08-08,25
27,3 wk ahead cum death,point,,2020-06-29,2020-07-18,1670
27,3 wk ahead inc death,point,,2020-06-29,2020-07-18,55
56,3 wk ahead cum death,point,,2020-06-29,2020-07-18,30
56,3 wk ahead inc death,point,,2020-06-29,2020-07-18,6
US,5 wk ahead cum death,point,,2020-06-29,2020-08-01,139002
US,5 wk ahead inc death,point,,2020-06-29,2020-08-01,2191
69,5 wk ahead cum death,point,,2020-06-29,2020-08-01,2
69,5 wk ahead inc death,point,,2020-06-29,2020-08-01,0
21,7 wk ahead cum death,point,,2020-06-29,2020-08-15,663
21,7 wk ahead inc death,point,,2020-06-29,2020-08-15,10
15,3 wk ahead cum death,point,,2020-06-29,2020-07-18,19
15,3 wk ahead inc death,point,,2020-06-29,2020-07-18,2
42,3 wk ahead cum death,point,,2020-06-29,2020-07-18,7104
42,3 wk ahead inc death,point,,2020-06-29,2020-07-18,140
40,7 wk ahead cum death,point,,2020-06-29,2020-08-15,403
40,7 wk ahead inc death,point,,2020-06-29,2020-08-15,4
31,2 wk ahead cum death,point,,2020-06-29,2020-07-11,308
31,2 wk ahead inc death,point,,2020-06-29,2020-07-11,20
09,2 wk ahead cum death,point,,2020-06-29,2020-07-11,4376
09,2 wk ahead inc death,point,,2020-06-29,2020-07-11,27
66,5 wk ahead cum death,point,,2020-06-29,2020-08-01,5
66,5 wk ahead inc death,point,,2020-06-29,2020-08-01,0
34,2 wk ahead cum death,point,,2020-06-29,2020-07-11,15281
34,2 wk ahead inc death,point,,2020-06-29,2020-07-11,144
55,1 wk ahead cum death,point,,2020-06-29,2020-07-04,813
55,1 wk ahead inc death,point,,2020-06-29,2020-07-04,37
40,2 wk ahead cum death,point,,2020-06-29,2020-07-11,393
40,2 wk ahead inc death,point,,2020-06-29,2020-07-11,6
38,3 wk ahead cum death,point,,2020-06-29,2020-07-18,84
38,3 wk ahead inc death,point,,2020-06-29,2020-07-18,4
72,1 wk ahead cum death,point,,2020-06-29,2020-07-04,154
72,1 wk ahead inc death,point,,2020-06-29,2020-07-04,4
42,7 wk ahead cum death,point,,2020-06-29,2020-08-15,7446
42,7 wk ahead inc death,point,,2020-06-29,2020-08-15,58
22,3 wk ahead cum death,point,,2020-06-29,2020-07-18,3337
22,3 wk ahead inc death,point,,2020-06-29,2020-07-18,38
33,7 wk ahead cum death,point,,2020-06-29,2020-08-15,563
33,7 wk ahead inc death,point,,2020-06-29,2020-08-15,23
28,2 wk ahead cum death,point,,2020-06-29,2020-07-11,1163
28,2 wk ahead inc death,point,,2020-06-29,2020-07-11,65
54,4 wk ahead cum death,point,,2020-06-29,2020-07-25,103
54,4 wk ahead inc death,point,,2020-06-29,2020-07-25,4
69,3 wk ahead cum death,point,,2020-06-29,2020-07-18,2
69,3 wk ahead inc death,point,,2020-06-29,2020-07-18,0
51,3 wk ahead cum death,point,,2020-06-29,2020-07-18,1957
51,3 wk ahead inc death,point,,2020-06-29,2020-07-18,72
29,2 wk ahead cum death,point,,2020-06-29,2020-07-11,1058
29,2 wk ahead inc death,point,,2020-06-29,2020-07-11,26
US,2 wk ahead cum death,point,,2020-06-29,2020-07-11,131696
US,2 wk ahead inc death,point,,2020-06-29,2020-07-11,3107
33,2 wk ahead cum death,point,,2020-06-29,2020-07-11,428
33,2 wk ahead inc death,point,,2020-06-29,2020-07-11,32
31,6 wk ahead cum death,point,,2020-06-29,2020-08-08,363
31,6 wk ahead inc death,point,,2020-06-29,2020-08-08,11
46,4 wk ahead cum death,point,,2020-06-29,2020-07-25,124
46,4 wk ahead inc death,point,,2020-06-29,2020-07-25,10
13,2 wk ahead cum death,point,,2020-06-29,2020-07-11,3052
13,2 wk ahead inc death,point,,2020-06-29,2020-07-11,141
24,5 wk ahead cum death,point,,2020-06-29,2020-08-01,3493
24,5 wk ahead inc death,point,,2020-06-29,2020-08-01,41
27,7 wk ahead cum death,point,,2020-06-29,2020-08-15,1790
27,7 wk ahead inc death,point,,2020-06-29,2020-08-15,20
11,1 wk ahead cum death,point,,2020-06-29,2020-07-04,563
11,1 wk ahead inc death,point,,2020-06-29,2020-07-04,15
