location,forecast_date,quantile,value,target,target_end_date,type
23,2020-07-27,,4.0,3 wk ahead inc death,2020-08-15,point
24,2020-07-27,,57.0,3 wk ahead inc death,2020-08-15,point
25,2020-07-27,,51.0,3 wk ahead inc death,2020-08-15,point
26,2020-07-27,,60.0,3 wk ahead inc death,2020-08-15,point
27,2020-07-27,,55.0,3 wk ahead inc death,2020-08-15,point
28,2020-07-27,,88.0,3 wk ahead inc death,2020-08-15,point
29,2020-07-27,,59.0,3 wk ahead inc death,2020-08-15,point
30,2020-07-27,,9.0,3 wk ahead inc death,2020-08-15,point
31,2020-07-27,,19.0,3 wk ahead inc death,2020-08-15,point
32,2020-07-27,,88.0,3 wk ahead inc death,2020-08-15,point
33,2020-07-27,,7.0,3 wk ahead inc death,2020-08-15,point
34,2020-07-27,,87.0,3 wk ahead inc death,2020-08-15,point
35,2020-07-27,,35.0,3 wk ahead inc death,2020-08-15,point
36,2020-07-27,,102.0,3 wk ahead inc death,2020-08-15,point
37,2020-07-27,,181.0,3 wk ahead inc death,2020-08-15,point
38,2020-07-27,,7.0,3 wk ahead inc death,2020-08-15,point
39,2020-07-27,,119.0,3 wk ahead inc death,2020-08-15,point
40,2020-07-27,,50.0,3 wk ahead inc death,2020-08-15,point
41,2020-07-27,,31.0,3 wk ahead inc death,2020-08-15,point
42,2020-07-27,,93.0,3 wk ahead inc death,2020-08-15,point
44,2020-07-27,,9.0,3 wk ahead inc death,2020-08-15,point
45,2020-07-27,,189.0,3 wk ahead inc death,2020-08-15,point
46,2020-07-27,,10.0,3 wk ahead inc death,2020-08-15,point
47,2020-07-27,,163.0,3 wk ahead inc death,2020-08-15,point
48,2020-07-27,,893.0,3 wk ahead inc death,2020-08-15,point
49,2020-07-27,,47.0,3 wk ahead inc death,2020-08-15,point
50,2020-07-27,,0.0,3 wk ahead inc death,2020-08-15,point
51,2020-07-27,,78.0,3 wk ahead inc death,2020-08-15,point
53,2020-07-27,,68.0,3 wk ahead inc death,2020-08-15,point
54,2020-07-27,,8.0,3 wk ahead inc death,2020-08-15,point
55,2020-07-27,,57.0,3 wk ahead inc death,2020-08-15,point
56,2020-07-27,,3.0,3 wk ahead inc death,2020-08-15,point
1,2020-07-27,,129.0,4 wk ahead inc death,2020-08-22,point
2,2020-07-27,,4.0,4 wk ahead inc death,2020-08-22,point
4,2020-07-27,,357.0,4 wk ahead inc death,2020-08-22,point
5,2020-07-27,,63.0,4 wk ahead inc death,2020-08-22,point
6,2020-07-27,,795.0,4 wk ahead inc death,2020-08-22,point
8,2020-07-27,,31.0,4 wk ahead inc death,2020-08-22,point
9,2020-07-27,,14.0,4 wk ahead inc death,2020-08-22,point
10,2020-07-27,,10.0,4 wk ahead inc death,2020-08-22,point
11,2020-07-27,,11.0,4 wk ahead inc death,2020-08-22,point
12,2020-07-27,,896.0,4 wk ahead inc death,2020-08-22,point
13,2020-07-27,,240.0,4 wk ahead inc death,2020-08-22,point
15,2020-07-27,,2.0,4 wk ahead inc death,2020-08-22,point
16,2020-07-27,,31.0,4 wk ahead inc death,2020-08-22,point
17,2020-07-27,,112.0,4 wk ahead inc death,2020-08-22,point
18,2020-07-27,,57.0,4 wk ahead inc death,2020-08-22,point
19,2020-07-27,,50.0,4 wk ahead inc death,2020-08-22,point
20,2020-07-27,,33.0,4 wk ahead inc death,2020-08-22,point
21,2020-07-27,,47.0,4 wk ahead inc death,2020-08-22,point
22,2020-07-27,,142.0,4 wk ahead inc death,2020-08-22,point
23,2020-07-27,,4.0,4 wk ahead inc death,2020-08-22,point
24,2020-07-27,,54.0,4 wk ahead inc death,2020-08-22,point
25,2020-07-27,,55.0,4 wk ahead inc death,2020-08-22,point
26,2020-07-27,,58.0,4 wk ahead inc death,2020-08-22,point
27,2020-07-27,,48.0,4 wk ahead inc death,2020-08-22,point
28,2020-07-27,,89.0,4 wk ahead inc death,2020-08-22,point
29,2020-07-27,,51.0,4 wk ahead inc death,2020-08-22,point
30,2020-07-27,,6.0,4 wk ahead inc death,2020-08-22,point
31,2020-07-27,,14.0,4 wk ahead inc death,2020-08-22,point
32,2020-07-27,,95.0,4 wk ahead inc death,2020-08-22,point
33,2020-07-27,,9.0,4 wk ahead inc death,2020-08-22,point
34,2020-07-27,,106.0,4 wk ahead inc death,2020-08-22,point
35,2020-07-27,,36.0,4 wk ahead inc death,2020-08-22,point
36,2020-07-27,,112.0,4 wk ahead inc death,2020-08-22,point
37,2020-07-27,,164.0,4 wk ahead inc death,2020-08-22,point
38,2020-07-27,,7.0,4 wk ahead inc death,2020-08-22,point
39,2020-07-27,,120.0,4 wk ahead inc death,2020-08-22,point
40,2020-07-27,,50.0,4 wk ahead inc death,2020-08-22,point
41,2020-07-27,,33.0,4 wk ahead inc death,2020-08-22,point
42,2020-07-27,,95.0,4 wk ahead inc death,2020-08-22,point
44,2020-07-27,,8.0,4 wk ahead inc death,2020-08-22,point
45,2020-07-27,,167.0,4 wk ahead inc death,2020-08-22,point
46,2020-07-27,,10.0,4 wk ahead inc death,2020-08-22,point
47,2020-07-27,,165.0,4 wk ahead inc death,2020-08-22,point
48,2020-07-27,,710.0,4 wk ahead inc death,2020-08-22,point
49,2020-07-27,,48.0,4 wk ahead inc death,2020-08-22,point
50,2020-07-27,,0.0,4 wk ahead inc death,2020-08-22,point
