location,quantile,target,value,type,forecast_date,target_end_date
69,,2 wk ahead inc death,0.0,point,2020-08-31,2020-09-12
69,,2 wk ahead inc case,0.0,point,2020-08-31,2020-09-12
69,,2 wk ahead cum death,2.0,point,2020-08-31,2020-09-12
72,,2 wk ahead inc death,52.335,point,2020-08-31,2020-09-12
72,,2 wk ahead inc case,3056.7719999999995,point,2020-08-31,2020-09-12
72,,2 wk ahead cum death,105.70700000000001,point,2020-08-31,2020-09-12
78,,2 wk ahead inc death,1.404,point,2020-08-31,2020-09-12
78,,2 wk ahead inc case,142.7375,point,2020-08-31,2020-09-12
78,,2 wk ahead cum death,16.7605,point,2020-08-31,2020-09-12
01,,3 wk ahead inc death,82.44850000000002,point,2020-08-31,2020-09-19
01,,3 wk ahead inc case,6106.708000000001,point,2020-08-31,2020-09-19
01,,3 wk ahead cum death,2346.1494999999995,point,2020-08-31,2020-09-19
02,,3 wk ahead inc death,3.807,point,2020-08-31,2020-09-19
02,,3 wk ahead inc case,940.063,point,2020-08-31,2020-09-19
02,,3 wk ahead cum death,45.75,point,2020-08-31,2020-09-19
04,,3 wk ahead inc death,37.124,point,2020-08-31,2020-09-19
04,,3 wk ahead inc case,2302.5789999999997,point,2020-08-31,2020-09-19
04,,3 wk ahead cum death,5093.584,point,2020-08-31,2020-09-19
05,,3 wk ahead inc death,38.188,point,2020-08-31,2020-09-19
05,,3 wk ahead inc case,6877.131499999999,point,2020-08-31,2020-09-19
05,,3 wk ahead cum death,847.1130000000003,point,2020-08-31,2020-09-19
06,,3 wk ahead inc death,424.44599999999997,point,2020-08-31,2020-09-19
06,,3 wk ahead inc case,34246.173500000004,point,2020-08-31,2020-09-19
06,,3 wk ahead cum death,14019.513999999996,point,2020-08-31,2020-09-19
08,,3 wk ahead inc death,48.4125,point,2020-08-31,2020-09-19
08,,3 wk ahead inc case,1772.1234999999995,point,2020-08-31,2020-09-19
08,,3 wk ahead cum death,2077.8785,point,2020-08-31,2020-09-19
09,,3 wk ahead inc death,17.352999999999998,point,2020-08-31,2020-09-19
09,,3 wk ahead inc case,260.202,point,2020-08-31,2020-09-19
09,,3 wk ahead cum death,4534.679,point,2020-08-31,2020-09-19
10,,3 wk ahead inc death,6.175000000000002,point,2020-08-31,2020-09-19
10,,3 wk ahead inc case,239.09450000000004,point,2020-08-31,2020-09-19
10,,3 wk ahead cum death,621.9179999999999,point,2020-08-31,2020-09-19
