,location,target,type,quantile,forecast_date,target_end_date,value
7282,45,3 wk ahead cum death,point,,2020-06-18,2020-07-11,867.04315
7283,46,3 wk ahead cum death,point,,2020-06-18,2020-07-11,129.56888
7284,47,3 wk ahead cum death,point,,2020-06-18,2020-07-11,717.54755
7285,48,3 wk ahead cum death,point,,2020-06-18,2020-07-11,2808.4883
7286,49,3 wk ahead cum death,point,,2020-06-18,2020-07-11,213.454
7287,51,3 wk ahead cum death,point,,2020-06-18,2020-07-11,1987.0371
7288,50,3 wk ahead cum death,point,,2020-06-18,2020-07-11,58.84385
7289,53,3 wk ahead cum death,point,,2020-06-18,2020-07-11,1425.4272
7290,55,3 wk ahead cum death,point,,2020-06-18,2020-07-11,940.76624
7291,54,3 wk ahead cum death,point,,2020-06-18,2020-07-11,135.51271
7292,56,3 wk ahead cum death,point,,2020-06-18,2020-07-11,25.867626
7293,2,3 wk ahead inc death,point,,2020-06-18,2020-07-11,1.2681290000000018
7294,1,3 wk ahead inc death,point,,2020-06-18,2020-07-11,401.03610000000015
7295,5,3 wk ahead inc death,point,,2020-06-18,2020-07-11,88.0909
7296,4,3 wk ahead inc death,point,,2020-06-18,2020-07-11,437.91550000000007
7297,6,3 wk ahead inc death,point,,2020-06-18,2020-07-11,2477.7085
7298,8,3 wk ahead inc death,point,,2020-06-18,2020-07-11,126.44630000000004
7299,9,3 wk ahead inc death,point,,2020-06-18,2020-07-11,217.8629999999994
7300,11,3 wk ahead inc death,point,,2020-06-18,2020-07-11,26.64837
7301,10,3 wk ahead inc death,point,,2020-06-18,2020-07-11,67.17620999999997
7302,12,3 wk ahead inc death,point,,2020-06-18,2020-07-11,1364.5546
7303,13,3 wk ahead inc death,point,,2020-06-18,2020-07-11,558.3555999999994
7304,15,3 wk ahead inc death,point,,2020-06-18,2020-07-11,0.11012500000000004
7305,19,3 wk ahead inc death,point,,2020-06-18,2020-07-11,169.49784999999997
7306,16,3 wk ahead inc death,point,,2020-06-18,2020-07-11,14.788563999999996
7307,17,3 wk ahead inc death,point,,2020-06-18,2020-07-11,643.3847000000005
7308,18,3 wk ahead inc death,point,,2020-06-18,2020-07-11,321.9164999999998
7309,20,3 wk ahead inc death,point,,2020-06-18,2020-07-11,45.88801999999998
7310,21,3 wk ahead inc death,point,,2020-06-18,2020-07-11,286.3387
7311,22,3 wk ahead inc death,point,,2020-06-18,2020-07-11,247.0022000000004
7312,25,3 wk ahead inc death,point,,2020-06-18,2020-07-11,532.6370000000006
7313,24,3 wk ahead inc death,point,,2020-06-18,2020-07-11,640.2923000000002
7314,23,3 wk ahead inc death,point,,2020-06-18,2020-07-11,30.45625
7315,26,3 wk ahead inc death,point,,2020-06-18,2020-07-11,775.8806999999997
7316,27,3 wk ahead inc death,point,,2020-06-18,2020-07-11,395.8051
7317,29,3 wk ahead inc death,point,,2020-06-18,2020-07-11,431.23485999999986
7318,28,3 wk ahead inc death,point,,2020-06-18,2020-07-11,424.13663000000014
7319,30,3 wk ahead inc death,point,,2020-06-18,2020-07-11,3.107536000000003
7320,37,3 wk ahead inc death,point,,2020-06-18,2020-07-11,315.3963000000001
7321,38,3 wk ahead inc death,point,,2020-06-18,2020-07-11,18.18495
7322,31,3 wk ahead inc death,point,,2020-06-18,2020-07-11,91.91212
7323,33,3 wk ahead inc death,point,,2020-06-18,2020-07-11,145.10021999999995
7324,34,3 wk ahead inc death,point,,2020-06-18,2020-07-11,650.5470000000005
7325,35,3 wk ahead inc death,point,,2020-06-18,2020-07-11,110.35337000000004
7326,32,3 wk ahead inc death,point,,2020-06-18,2020-07-11,91.02523000000002
7327,36,3 wk ahead inc death,point,,2020-06-18,2020-07-11,464.663999999997
7328,39,3 wk ahead inc death,point,,2020-06-18,2020-07-11,789.4052000000001
7329,40,3 wk ahead inc death,point,,2020-06-18,2020-07-11,90.42233999999996
7330,41,3 wk ahead inc death,point,,2020-06-18,2020-07-11,41.085980000000006
