,location,forecast_date,target_end_date,value,target,type,quantile
29534,06045,2020-07-12,2020-08-01,42.302355135191306,3 wk ahead inc case,point,
29535,06045,2020-07-12,2020-08-08,47.19114126667957,4 wk ahead inc case,point,
29536,06047,2020-07-12,2020-07-18,318.04367508294064,1 wk ahead inc case,point,
29537,06047,2020-07-12,2020-07-25,356.32542907410635,2 wk ahead inc case,point,
29538,06047,2020-07-12,2020-08-01,367.6129515220338,3 wk ahead inc case,point,
29539,06047,2020-07-12,2020-08-08,408.59670556823613,4 wk ahead inc case,point,
29540,06053,2020-07-12,2020-07-18,778.1771698163943,1 wk ahead inc case,point,
29541,06053,2020-07-12,2020-07-25,854.391743924907,2 wk ahead inc case,point,
29542,06053,2020-07-12,2020-08-01,963.4535020377156,3 wk ahead inc case,point,
29543,06053,2020-07-12,2020-08-08,987.0034150752257,4 wk ahead inc case,point,
29544,06055,2020-07-12,2020-07-18,59.98065024250635,1 wk ahead inc case,point,
29545,06055,2020-07-12,2020-07-25,71.16031328126377,2 wk ahead inc case,point,
29546,06055,2020-07-12,2020-08-01,83.6090775462123,3 wk ahead inc case,point,
29547,06055,2020-07-12,2020-08-08,86.91268391549319,4 wk ahead inc case,point,
29548,06057,2020-07-12,2020-07-18,22.284949427392906,1 wk ahead inc case,point,
29549,06057,2020-07-12,2020-07-25,28.877620642340702,2 wk ahead inc case,point,
29550,06057,2020-07-12,2020-08-01,35.883759724886275,3 wk ahead inc case,point,
29551,06057,2020-07-12,2020-08-08,42.05321733974604,4 wk ahead inc case,point,
29552,06059,2020-07-12,2020-07-18,8184.448244215269,1 wk ahead inc case,point,
29553,06059,2020-07-12,2020-07-25,9334.278786983656,2 wk ahead inc case,point,
29554,06059,2020-07-12,2020-08-01,9643.35315623111,3 wk ahead inc case,point,
29555,06059,2020-07-12,2020-08-08,9621.607755139205,4 wk ahead inc case,point,
29556,06061,2020-07-12,2020-07-18,213.56369331683268,1 wk ahead inc case,point,
29557,06061,2020-07-12,2020-07-25,249.28681783602403,2 wk ahead inc case,point,
29558,06061,2020-07-12,2020-08-01,287.369758846055,3 wk ahead inc case,point,
29559,06061,2020-07-12,2020-08-08,316.7603363041968,4 wk ahead inc case,point,
29560,06065,2020-07-12,2020-07-18,3828.881665110541,1 wk ahead inc case,point,
29561,06065,2020-07-12,2020-07-25,4248.512417772992,2 wk ahead inc case,point,
29562,06065,2020-07-12,2020-08-01,4189.778818171621,3 wk ahead inc case,point,
29563,06065,2020-07-12,2020-08-08,4245.552089338924,4 wk ahead inc case,point,
29564,06067,2020-07-12,2020-07-18,1411.7041568802415,1 wk ahead inc case,point,
29565,06067,2020-07-12,2020-07-25,1602.277481195777,2 wk ahead inc case,point,
29566,06067,2020-07-12,2020-08-01,1765.6891164747628,3 wk ahead inc case,point,
29567,06067,2020-07-12,2020-08-08,1858.6172715703349,4 wk ahead inc case,point,
29568,06069,2020-07-12,2020-07-18,114.36118221575859,1 wk ahead inc case,point,
29569,06069,2020-07-12,2020-07-25,120.82540078790092,2 wk ahead inc case,point,
29570,06069,2020-07-12,2020-08-01,142.2073092556763,3 wk ahead inc case,point,
29571,06069,2020-07-12,2020-08-08,157.82142290480934,4 wk ahead inc case,point,
29572,06071,2020-07-12,2020-07-18,3960.1642869839147,1 wk ahead inc case,point,
29573,06071,2020-07-12,2020-07-25,4681.29855525474,2 wk ahead inc case,point,
29574,06071,2020-07-12,2020-08-01,4788.7276041443265,3 wk ahead inc case,point,
29575,06071,2020-07-12,2020-08-08,4798.7600620819785,4 wk ahead inc case,point,
29576,06073,2020-07-12,2020-07-18,2489.867724588757,1 wk ahead inc case,point,
29577,06073,2020-07-12,2020-07-25,2917.238756636113,2 wk ahead inc case,point,
29578,06073,2020-07-12,2020-08-01,3020.800624016644,3 wk ahead inc case,point,
29579,06073,2020-07-12,2020-08-08,3049.192350294045,4 wk ahead inc case,point,
29580,06075,2020-07-12,2020-07-18,770.4150983262092,1 wk ahead inc case,point,
29581,06075,2020-07-12,2020-07-25,915.3787789477146,2 wk ahead inc case,point,
29582,06075,2020-07-12,2020-08-01,1007.4901366714056,3 wk ahead inc case,point,
29583,06075,2020-07-12,2020-08-08,1114.9887302817374,4 wk ahead inc case,point,
29584,06077,2020-07-12,2020-07-18,802.4798590541889,1 wk ahead inc case,point,
29585,06077,2020-07-12,2020-07-25,857.3137742929681,2 wk ahead inc case,point,
29586,06077,2020-07-12,2020-08-01,872.7676292133583,3 wk ahead inc case,point,
29587,06077,2020-07-12,2020-08-08,943.2684088922874,4 wk ahead inc case,point,
29588,06079,2020-07-12,2020-07-18,156.30678217661506,1 wk ahead inc case,point,
