,forecast_date,location,target,type,quantile,target_end_date,value
5445,2020-07-27,41,2 wk ahead inc case,point,,2020-08-08,1829.7978
5446,2020-07-27,42,2 wk ahead inc case,point,,2020-08-08,4941.8332
5447,2020-07-27,44,2 wk ahead inc case,point,,2020-08-08,424.8508
5448,2020-07-27,45,2 wk ahead inc case,point,,2020-08-08,9066.9404
5449,2020-07-27,46,2 wk ahead inc case,point,,2020-08-08,534.8164
5450,2020-07-27,47,2 wk ahead inc case,point,,2020-08-08,10272.494
5451,2020-07-27,48,2 wk ahead inc case,point,,2020-08-08,41815.1262
5452,2020-07-27,49,2 wk ahead inc case,point,,2020-08-08,3137.2534
5453,2020-07-27,50,2 wk ahead inc case,point,,2020-08-08,43.7078
5454,2020-07-27,51,2 wk ahead inc case,point,,2020-08-08,5601.0486
5455,2020-07-27,53,2 wk ahead inc case,point,,2020-08-08,3630.1524
5456,2020-07-27,54,2 wk ahead inc case,point,,2020-08-08,1011.5584
5457,2020-07-27,55,2 wk ahead inc case,point,,2020-08-08,4743.0346
5458,2020-07-27,56,2 wk ahead inc case,point,,2020-08-08,317.742
5459,2020-07-27,US,2 wk ahead inc case,point,,2020-08-08,328516.4308
5824,2020-07-27,01,3 wk ahead cum death,point,,2020-08-15,2440.4892
5825,2020-07-27,02,3 wk ahead cum death,point,,2020-08-15,38.2354
5826,2020-07-27,04,3 wk ahead cum death,point,,2020-08-15,8162.7186
5827,2020-07-27,05,3 wk ahead cum death,point,,2020-08-15,597.0306
5828,2020-07-27,06,3 wk ahead cum death,point,,2020-08-15,11483.1288
5829,2020-07-27,08,3 wk ahead cum death,point,,2020-08-15,1865.5348
5830,2020-07-27,09,3 wk ahead cum death,point,,2020-08-15,4439.1106
5831,2020-07-27,10,3 wk ahead cum death,point,,2020-08-15,614.5446
5832,2020-07-27,11,3 wk ahead cum death,point,,2020-08-15,590.3464
5833,2020-07-27,12,3 wk ahead cum death,point,,2020-08-15,12965.9474
5834,2020-07-27,13,3 wk ahead cum death,point,,2020-08-15,4434.1686
5835,2020-07-27,15,3 wk ahead cum death,point,,2020-08-15,48.5216
5836,2020-07-27,16,3 wk ahead cum death,point,,2020-08-15,504.5032
5837,2020-07-27,17,3 wk ahead cum death,point,,2020-08-15,7821.129
5838,2020-07-27,18,3 wk ahead cum death,point,,2020-08-15,3078.1138
5839,2020-07-27,19,3 wk ahead cum death,point,,2020-08-15,897.2078
5840,2020-07-27,20,3 wk ahead cum death,point,,2020-08-15,417.5324
5841,2020-07-27,21,3 wk ahead cum death,point,,2020-08-15,873.1818
5842,2020-07-27,22,3 wk ahead cum death,point,,2020-08-15,4708.295
5843,2020-07-27,23,3 wk ahead cum death,point,,2020-08-15,129.2054
5844,2020-07-27,24,3 wk ahead cum death,point,,2020-08-15,3558.2246
5845,2020-07-27,25,3 wk ahead cum death,point,,2020-08-15,8730.0056
5846,2020-07-27,26,3 wk ahead cum death,point,,2020-08-15,6535.0474
5847,2020-07-27,27,3 wk ahead cum death,point,,2020-08-15,1663.2866
5848,2020-07-27,28,3 wk ahead cum death,point,,2020-08-15,1991.496
5849,2020-07-27,29,3 wk ahead cum death,point,,2020-08-15,1417.6934
5850,2020-07-27,30,3 wk ahead cum death,point,,2020-08-15,128.8582
5851,2020-07-27,31,3 wk ahead cum death,point,,2020-08-15,362.1642
5852,2020-07-27,32,3 wk ahead cum death,point,,2020-08-15,1155.9954
5853,2020-07-27,33,3 wk ahead cum death,point,,2020-08-15,430.876
5854,2020-07-27,34,3 wk ahead cum death,point,,2020-08-15,16298.2668
5855,2020-07-27,35,3 wk ahead cum death,point,,2020-08-15,705.7974
5856,2020-07-27,36,3 wk ahead cum death,point,,2020-08-15,33069.0666
5857,2020-07-27,37,3 wk ahead cum death,point,,2020-08-15,2463.3704
5858,2020-07-27,38,3 wk ahead cum death,point,,2020-08-15,117.6354
5859,2020-07-27,39,3 wk ahead cum death,point,,2020-08-15,3707.8222
5860,2020-07-27,40,3 wk ahead cum death,point,,2020-08-15,749.487
5861,2020-07-27,41,3 wk ahead cum death,point,,2020-08-15,439.1082
5862,2020-07-27,42,3 wk ahead cum death,point,,2020-08-15,7392.1542
5863,2020-07-27,44,3 wk ahead cum death,point,,2020-08-15,1018.3422
5864,2020-07-27,45,3 wk ahead cum death,point,,2020-08-15,3392.9794
5865,2020-07-27,46,3 wk ahead cum death,point,,2020-08-15,160.4174
5866,2020-07-27,47,3 wk ahead cum death,point,,2020-08-15,1808.2278
5867,2020-07-27,48,3 wk ahead cum death,point,,2020-08-15,13618.8612
5868,2020-07-27,49,3 wk ahead cum death,point,,2020-08-15,426.5558
5869,2020-07-27,50,3 wk ahead cum death,point,,2020-08-15,57.6862
5870,2020-07-27,51,3 wk ahead cum death,point,,2020-08-15,2241.1584
5871,2020-07-27,53,3 wk ahead cum death,point,,2020-08-15,1726.276
5872,2020-07-27,54,3 wk ahead cum death,point,,2020-08-15,111.4726
