,location,target,type,quantile,forecast_date,target_end_date,value
8253,47,2 wk ahead inc death,point,,2020-06-21,2020-07-04,86.32151876
8254,47,3 wk ahead inc death,point,,2020-06-21,2020-07-11,105.78035390000001
8255,47,4 wk ahead inc death,point,,2020-06-21,2020-07-18,128.9587644
8348,48,1 wk ahead cum death,point,,2020-06-21,2020-06-27,2481.357318
8349,48,2 wk ahead cum death,point,,2020-06-21,2020-07-04,2904.77195
8350,48,3 wk ahead cum death,point,,2020-06-21,2020-07-11,3406.905608
8351,48,4 wk ahead cum death,point,,2020-06-21,2020-07-18,4015.152675
8444,48,1 wk ahead inc death,point,,2020-06-21,2020-06-27,298.35731789999994
8445,48,2 wk ahead inc death,point,,2020-06-21,2020-07-04,423.41463210000006
8446,48,3 wk ahead inc death,point,,2020-06-21,2020-07-11,502.13365760000005
