forecast_date,target,target_end_date,quantile,type,location,value
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5011,35.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5015,80.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5015,65.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5015,54.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5015,44.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5017,72.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5017,73.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5017,74.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5017,70.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5019,78.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5019,64.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5019,49.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5019,37.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5021,68.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5021,68.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5021,53.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5021,34.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5023,139.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5023,131.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5023,111.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5023,84.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5025,34.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5025,31.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5025,24.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5025,16.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5027,90.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5027,95.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5027,85.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5027,57.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5029,111.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5029,100.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5029,83.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5029,59.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5031,477.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5031,451.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5031,390.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5031,274.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5033,274.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5033,266.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5033,247.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5033,207.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5035,173.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5035,159.0
