forecast_date,target,target_end_date,quantile,type,location,value
2020-12-21,7 wk ahead cum death,2021-02-06,,point,16,1610.3267462920444
2020-12-21,8 wk ahead cum death,2021-02-13,,point,16,1629.1512579344248
2020-12-21,1 wk ahead inc death,2020-12-26,,point,17,1328.80230348766
2020-12-21,2 wk ahead inc death,2021-01-02,,point,17,1485.4823812440036
2020-12-21,3 wk ahead inc death,2021-01-09,,point,17,1660.6367246614645
2020-12-21,4 wk ahead inc death,2021-01-16,,point,17,1856.4436482813944
2020-12-21,5 wk ahead inc death,2021-01-23,,point,17,2075.3383133490024
2020-12-21,6 wk ahead inc death,2021-01-30,,point,17,2320.043012801129
2020-12-21,7 wk ahead inc death,2021-02-06,,point,17,2593.6010271796913
2020-12-21,8 wk ahead inc death,2021-02-13,,point,17,2899.4144725213146
2020-12-21,1 wk ahead cum death,2020-12-26,,point,17,17654.802303487657
2020-12-21,2 wk ahead cum death,2021-01-02,,point,17,19140.284684731665
2020-12-21,3 wk ahead cum death,2021-01-09,,point,17,20800.921409393133
2020-12-21,4 wk ahead cum death,2021-01-16,,point,17,22657.365057674528
2020-12-21,5 wk ahead cum death,2021-01-23,,point,17,24732.70337102353
2020-12-21,6 wk ahead cum death,2021-01-30,,point,17,27052.746383824655
2020-12-21,7 wk ahead cum death,2021-02-06,,point,17,29646.347411004346
2020-12-21,8 wk ahead cum death,2021-02-13,,point,17,32545.761883525665
2020-12-21,1 wk ahead inc death,2020-12-26,,point,18,597.1565598134669
2020-12-21,2 wk ahead inc death,2021-01-02,,point,18,622.1933757748701
2020-12-21,3 wk ahead inc death,2021-01-09,,point,18,648.2799033122134
2020-12-21,4 wk ahead inc death,2021-01-16,,point,18,675.4601533889668
2020-12-21,5 wk ahead inc death,2021-01-23,,point,18,703.7799822039477
2020-12-21,6 wk ahead inc death,2021-01-30,,point,18,733.2871685559892
2020-12-21,7 wk ahead inc death,2021-02-06,,point,18,764.0314944522482
